"time","channel","station","value","g1","g2","g3","g4","g5","g6"
"64","Vertical_up","BK.BKS",-1.14911114978522e-06,-2.01336055109855e-08,-1.26309658309018e-08,1.91402050858897e-08,-4.15988070177208e-08,3.40499219551369e-08,2.84581448909929e-08
"65","Vertical_up","BK.BKS",-9.25976976618192e-07,-1.08177325052376e-08,-5.27007474515033e-09,1.79730314494683e-08,-3.07592999800915e-08,2.958739539804e-08,2.472846740424e-08
"66","Vertical_up","BK.BKS",-6.67289095571049e-07,-2.26939935463494e-09,1.19552247017749e-09,1.57834636278594e-08,-1.9211453630711e-08,2.33340881188382e-08,1.95020964059776e-08
"67","Vertical_up","BK.BKS",-3.98528566562486e-07,4.90027865683764e-09,6.36579591224211e-09,1.28587472358197e-08,-8.12564271886102e-09,1.60440016823778e-08,1.34092091344591e-08
"68","Vertical_up","BK.BKS",-1.38333230880023e-07,1.02684252842949e-08,9.99693647073854e-09,9.515934937634e-09,1.50528497224535e-09,8.47775610795876e-09,7.0855143805812e-09
"69","Vertical_up","BK.BKS",1.00046716923866e-07,1.3618131298383e-08,1.2006241093481e-08,6.06984986904137e-09,8.93721575693769e-09,1.33394300255556e-09,1.11487900891724e-09
"70","Vertical_up","BK.BKS",2.96110577422572e-07,1.49366422101852e-08,1.24626662671843e-08,2.80425369835588e-09,1.37170985423398e-08,-4.80381575317522e-09,-4.01491917995044e-09
"71","Vertical_up","BK.BKS",4.28557782152401e-07,1.43949146481314e-08,1.15644734548175e-08,-4.91462638499371e-11,1.56935401400433e-08,-9.50298220037292e-09,-7.94237486685163e-09
"72","Vertical_up","BK.BKS",4.94499576522803e-07,1.23120680070264e-08,9.60713739516098e-09,-2.32266112596524e-09,1.49976396731424e-08,-1.25027853176971e-08,-1.04495416048472e-08
"73","Vertical_up","BK.BKS",5.04343301403786e-07,9.11017181000487e-09,6.94587601195851e-09,-3.91727246972916e-09,1.20000595885194e-08,-1.37205625184013e-08,-1.14673318972376e-08
"74","Vertical_up","BK.BKS",4.70415528248618e-07,5.26521799540954e-09,3.957256678171e-09,-4.80234676271427e-09,7.25206497213025e-09,-1.32436486624993e-08,-1.10687382197054e-08
"75","Vertical_up","BK.BKS",4.01129489320995e-07,1.25924571567342e-09,1.00352373815766e-09,-5.01158918676651e-09,1.41786486442991e-09,-1.13066385878568e-08,-9.44982956458076e-09
"76","Vertical_up","BK.BKS",2.99299812068292e-07,-2.46276031368249e-09,-1.59783016137352e-09,-4.63497193325189e-09,-4.79565379971801e-09,-8.25571115466707e-09,-6.89993429433566e-09
"77","Vertical_up","BK.BKS",1.68326595366685e-07,-5.52866835504688e-09,-3.59765148748353e-09,-3.80604116108938e-09,-1.07066314586542e-08,-4.50461068559454e-09,-3.76485043745671e-09
"78","Vertical_up","BK.BKS",2.15469920163197e-08,-7.66575087369182e-09,-4.83081620669614e-09,-2.685086076232e-09,-1.57184544572029e-08,-4.8877861928325e-10,-4.08509975015779e-10
